K|S|V
3|"d"|7
2|"east"|4
4|"b"|24
5|"east"|21
3|"a"|7
4|"east"|9
5|"west"|3
1|"b"|21
4|"west"|30
4|"west"|10
5|"d"|3
5|"d"|15
1|"d"|22
5|"b"|7
3|"b"|20
1|"a"|4
4|"a"|6
3|"east"|1
1|"d"|25
2|"east"|20
3|"west"|19
1|"a"|7
2|"b"|9
3|"b"|16
4|"d"|22
2|"west"|9
5|"a"|10
1|"east"|18
3|"a"|24
1|"a"|28
4|"d"|20
2|"a"|3
3|"east"|3
1|"d"|1
3|"east"|21
5|"west"|22
1|"a"|2
3|"west"|29
2|"a"|5
5|"east"|27
4|"d"|30
1|"d"|30
5|"a"|24
1|"east"|20
1|"b"|10
2|"a"|28
2|"c"|17
3|"c"|18
3|"b"|2
2|"c"|7
1|"d"|2
4|"east"|22
1|"d"|27
5|"a"|7
5|"d"|2
1|"c"|26
4|"a"|28
1|"d"|4
2|"b"|26
1|"east"|22
3|"a"|5
3|"d"|22
1|"b"|30
5|"east"|26
1|"c"|3
1|"b"|27
5|"d"|28
3|"c"|5
4|"west"|3
5|"b"|14
4|"east"|12
4|"d"|10
4|"b"|20
1|"b"|18
1|"a"|30
4|"c"|20
1|"west"|13
1|"east"|10
2|"b"|21
2|"a"|12
3|"a"|3
2|"a"|30
3|"b"|11
1|"d"|20
4|"west"|6
4|"a"|14
5|"c"|27
3|"c"|6
3|"b"|25
4|"west"|10
1|"a"|5
3|"c"|16
1|"west"|15
5|"east"|20
5|"c"|17
5|"c"|14
4|"east"|10
5|"east"|20
2|"a"|1
3|"a"|19
3|"d"|15
3|"west"|30
4|"b"|12
3|"east"|10
2|"b"|15
1|"d"|5
4|"d"|5
3|"d"|12
1|"c"|13
1|"d"|1
1|"a"|10
3|"a"|27
2|"a"|27
4|"east"|21
4|"b"|9
1|"west"|17
4|"a"|29
1|"a"|21
4|"d"|18
5|"a"|22
3|"a"|16
2|"east"|5
1|"d"|14
2|"b"|17
1|"a"|12
2|"b"|8
2|"east"|5
2|"b"|18
2|"c"|1
5|"c"|16
3|"b"|17
2|"c"|20
5|"east"|10
1|"a"|9
1|"a"|24
5|"c"|15
5|"a"|8
3|"a"|23
1|"b"|12
1|"c"|7
3|"d"|30
2|"b"|25
5|"east"|5
1|"d"|10
1|"west"|23
3|"d"|18
1|"east"|25
4|"east"|8
1|"b"|30
5|"a"|28
1|"a"|29
3|"a"|20
3|"west"|11
2|"c"|3
5|"c"|28
2|"east"|25
1|"west"|9
3|"d"|18
4|"d"|10
2|"east"|2
2|"a"|21
5|"west"|18
5|"b"|1
4|"b"|25
3|"d"|30
5|"west"|23
1|"west"|8
4|"east"|19
1|"west"|5
1|"b"|27
5|"west"|29
4|"c"|30
2|"west"|13
5|"east"|1
3|"c"|18
3|"c"|30
4|"c"|19
5|"c"|23
1|"east"|25
3|"b"|19
1|"d"|20
4|"east"|21
1|"west"|10
3|"b"|17
5|"east"|14
1|"d"|3
1|"d"|11
4|"d"|8
2|"d"|25
3|"c"|15
1|"a"|13
3|"b"|15
4|"a"|30
2|"d"|22
5|"a"|10
5|"east"|2
2|"c"|8
1|"east"|9
2|"d"|24
4|"east"|20
2|"west"|20
4|"c"|9
3|"d"|25
4|"b"|11
1|"east"|10
2|"b"|24
2|"c"|6
2|"c"|17
1|"a"|9
1|"d"|23
2|"c"|4
3|"c"|8
4|"east"|4
3|"east"|11
3|"d"|10
5|"a"|13
2|"d"|19
4|"a"|6
3|"b"|12
4|"a"|8
2|"b"|22
2|"east"|26
3|"west"|20
3|"c"|6
2|"a"|11
5|"b"|17
4|"b"|2
3|"a"|30
2|"east"|14
4|"b"|29
5|"east"|3
4|"b"|4
4|"c"|6
5|"b"|27
2|"a"|10
1|"d"|15
5|"b"|29
1|"c"|22
2|"east"|6
4|"d"|20
2|"d"|28
1|"d"|8
2|"c"|25
1|"b"|4
2|"east"|6
5|"a"|10
5|"c"|1
2|"b"|2
4|"a"|22
5|"a"|4
5|"b"|21
2|"b"|12
5|"b"|16
5|"d"|3
5|"a"|1
1|"west"|1
2|"west"|19
3|"d"|4
4|"b"|6
3|"d"|23
3|"west"|16
1|"east"|24
3|"c"|20
3|"a"|24
4|"east"|20
2|"b"|1
3|"c"|24
2|"b"|24
2|"a"|13
4|"d"|30
5|"a"|10
3|"d"|10
4|"west"|10
2|"d"|1
1|"east"|10
3|"b"|22
5|"west"|30
1|"a"|22
4|"d"|14
4|"west"|14
3|"a"|12
2|"west"|16
4|"a"|5
1|"east"|6
5|"a"|27
3|"d"|18
1|"d"|22
1|"west"|20
1|"b"|5
2|"a"|22
1|"d"|16
5|"west"|30
4|"a"|13
4|"west"|14
2|"c"|8
2|"b"|7
4|"a"|18
3|"east"|5
1|"b"|13
5|"west"|10
5|"c"|14
2|"d"|3
1|"c"|28
2|"east"|10
2|"a"|2
1|"west"|8
4|"c"|25
2|"east"|25
5|"east"|30
2|"b"|23
1|"b"|5
3|"d"|12
5|"west"|21
5|"d"|13
5|"b"|5
4|"east"|23
3|"a"|16
5|"b"|26
4|"d"|11
5|"a"|29
3|"b"|30
5|"b"|2
1|"a"|25
3|"west"|28
1|"d"|26
3|"b"|23
4|"d"|10
2|"d"|15
2|"c"|3
2|"d"|6
3|"c"|12
2|"b"|16
3|"west"|13
3|"d"|20
4|"d"|9
5|"d"|17
3|"east"|14
2|"b"|9
5|"c"|23
3|"a"|1
3|"d"|21
2|"c"|1
4|"east"|5
5|"d"|11
4|"east"|30
3|"a"|5
1|"d"|25
2|"d"|29
4|"west"|16
2|"east"|8
3|"west"|1
5|"d"|19
2|"c"|22
3|"b"|3
2|"east"|4
3|"d"|28
3|"a"|6
2|"b"|10
4|"d"|18
1|"c"|30
3|"d"|24
5|"d"|28
2|"c"|4
5|"c"|23
1|"d"|1
2|"b"|21
5|"east"|5
1|"c"|15
5|"west"|27
2|"b"|7
4|"west"|24
2|"west"|2
5|"west"|23
3|"c"|3
4|"d"|13
4|"a"|13
2|"d"|21
2|"west"|5
5|"d"|7
1|"a"|3
2|"b"|1
1|"west"|22
5|"c"|17
3|"b"|13
3|"east"|7
2|"b"|14
4|"west"|19
4|"a"|26
5|"b"|23
5|"east"|13
4|"west"|24
1|"west"|7
4|"a"|28
3|"west"|22
3|"east"|30
3|"d"|29
5|"b"|1
5|"c"|30
4|"c"|19
1|"a"|28
2|"b"|9
5|"c"|25
1|"east"|30
2|"c"|2
1|"a"|4
3|"c"|13
1|"d"|12
5|"west"|23
1|"east"|29
1|"b"|17
5|"east"|21
1|"c"|9
1|"a"|10
1|"c"|8
1|"c"|13
4|"east"|11
1|"west"|7
3|"b"|17
1|"c"|17
2|"d"|10
4|"c"|12
5|"a"|7
1|"east"|21
1|"a"|30
4|"east"|30
3|"d"|10
4|"a"|16
4|"east"|9
1|"a"|30
5|"a"|5
4|"west"|4
4|"east"|17
5|"west"|23
2|"d"|23
1|"d"|3
1|"c"|17
4|"d"|26
5|"d"|4
1|"east"|19
4|"d"|15
3|"east"|24
5|"b"|22
2|"b"|14
1|"d"|28
1|"west"|11
1|"c"|18
2|"c"|7
3|"c"|21
5|"a"|19
3|"d"|11
4|"west"|5
5|"c"|8
3|"b"|8
5|"west"|19
5|"b"|10
2|"d"|13
2|"a"|15
4|"c"|18
1|"a"|22
3|"east"|27
3|"d"|14
5|"d"|20
2|"a"|27
2|"a"|5
5|"c"|7
2|"d"|6
4|"d"|14
5|"east"|26
2|"c"|11
1|"west"|12
1|"b"|11
2|"east"|12
3|"d"|4
2|"a"|26
5|"d"|27
2|"a"|18
5|"d"|5
1|"west"|15
2|"east"|28
2|"d"|26
4|"d"|15
1|"a"|29
5|"c"|5
3|"b"|23
4|"west"|17
4|"b"|1
5|"a"|1
4|"a"|5
1|"a"|27
2|"west"|28
3|"b"|7
3|"west"|10
4|"b"|29
1|"c"|24
4|"west"|22
4|"d"|4
5|"west"|29
4|"a"|22
5|"east"|21
4|"a"|13
3|"west"|20
4|"c"|25
4|"d"|25
4|"d"|10
1|"east"|20
4|"east"|28
2|"b"|10
3|"a"|1
5|"west"|12
2|"b"|30
3|"b"|22
4|"west"|23
3|"b"|25
4|"east"|7
2|"b"|27
1|"east"|3
3|"b"|20
1|"d"|1
3|"west"|10
4|"west"|8
4|"a"|25
1|"c"|16
5|"a"|3
3|"a"|24
1|"a"|3
4|"west"|27
2|"d"|1
1|"east"|2
2|"d"|12
5|"east"|23
2|"west"|9
4|"c"|20
4|"east"|30
2|"b"|11
3|"east"|17
2|"c"|16
1|"east"|6
1|"c"|19
4|"d"|19
1|"c"|13
2|"west"|17
4|"west"|13
3|"west"|27
2|"b"|1
2|"a"|16
2|"west"|14
4|"c"|5
5|"b"|10
4|"east"|11
3|"east"|29
2|"west"|16
2|"c"|1
1|"a"|23
2|"a"|18
4|"west"|2
1|"c"|22
4|"a"|11
1|"east"|1
5|"c"|9
2|"b"|16
1|"d"|21
2|"west"|2
2|"b"|11
4|"west"|30
2|"d"|20
2|"a"|3
1|"a"|24
1|"east"|2
5|"east"|19
2|"a"|18
4|"east"|4
1|"c"|28
5|"a"|6
5|"west"|8
3|"west"|9
1|"c"|18
5|"b"|20
1|"east"|24
2|"a"|30
3|"west"|8
4|"d"|14
1|"b"|25
4|"d"|6
5|"west"|1
5|"a"|5
2|"west"|21
4|"east"|3
3|"east"|10
4|"west"|9
4|"a"|28
3|"west"|8
1|"a"|2
3|"west"|18
2|"west"|25
2|"a"|28
5|"d"|16
2|"east"|15
5|"east"|10
2|"a"|18
5|"a"|24
3|"b"|22
4|"east"|8
4|"d"|24
3|"west"|1
1|"d"|26
4|"d"|16
1|"east"|16
4|"d"|28
2|"west"|17
5|"b"|14
2|"d"|18
5|"west"|22
3|"a"|3
4|"west"|6
4|"d"|6
5|"b"|6
4|"d"|14
4|"east"|27
5|"a"|19
2|"d"|21
4|"a"|13
3|"b"|6
5|"west"|20
5|"east"|1
4|"c"|19
5|"b"|26
3|"east"|18
1|"b"|11
3|"east"|16
4|"d"|5
4|"c"|20
4|"d"|10
1|"east"|27
2|"east"|12
5|"a"|11
1|"a"|30
3|"a"|25
4|"a"|29
4|"c"|16
5|"east"|7
5|"a"|27
2|"east"|28
3|"d"|12
1|"east"|18
4|"a"|21
1|"c"|17
4|"a"|2
3|"a"|1
5|"b"|9
3|"east"|23
2|"east"|15
5|"d"|12
4|"a"|21
2|"west"|1
2|"east"|7
1|"a"|4
2|"c"|21
1|"a"|21
5|"d"|27
1|"d"|9
2|"east"|25
1|"d"|22
5|"c"|5
2|"b"|8
2|"d"|20
2|"a"|21
5|"a"|13
2|"a"|1
4|"west"|7
1|"b"|26
3|"b"|29
4|"west"|23
4|"b"|9
5|"d"|12
2|"d"|26
3|"a"|23
3|"d"|29
1|"west"|25
3|"c"|13
5|"c"|29
4|"west"|25
4|"c"|2
4|"east"|29
4|"b"|12
3|"c"|12
2|"c"|11
1|"c"|13
4|"east"|18
4|"c"|30
5|"b"|22
3|"east"|7
3|"east"|24
2|"west"|30
3|"west"|18
4|"west"|6
4|"d"|7
4|"d"|27
3|"east"|11
2|"b"|1
4|"d"|12
5|"d"|1
5|"east"|10
2|"b"|25
4|"east"|18
2|"west"|27
3|"c"|8
4|"east"|23
3|"east"|2
3|"a"|25
3|"c"|26
1|"c"|24
1|"east"|6
5|"c"|13
4|"b"|24
1|"a"|15
2|"c"|6
5|"b"|19
1|"west"|15
4|"b"|30
4|"b"|28
5|"c"|9
3|"west"|21
1|"b"|18
1|"a"|14
2|"c"|18
3|"a"|12
1|"west"|5
1|"c"|11
1|"west"|6
5|"a"|10
2|"c"|8
1|"b"|30
4|"east"|9
2|"b"|25
4|"east"|28
3|"b"|3
1|"a"|5
2|"west"|12
5|"a"|9
2|"d"|12
2|"d"|27
3|"b"|18
4|"west"|13
2|"west"|12
1|"west"|2
5|"c"|16
2|"east"|7
5|"west"|22
3|"c"|10
3|"a"|9
4|"a"|26
5|"west"|3
5|"b"|11
1|"a"|16
3|"c"|27
3|"c"|25
2|"west"|15
1|"d"|5
4|"b"|18
1|"d"|15
2|"b"|15
3|"d"|4
2|"a"|22
3|"d"|12
4|"west"|24
2|"d"|9
1|"b"|25
4|"a"|17
3|"east"|4
5|"west"|15
4|"b"|1
5|"east"|30
1|"d"|19
2|"a"|20
4|"b"|1
2|"east"|20
3|"a"|14
4|"a"|10
3|"a"|23
3|"west"|20
5|"east"|5
2|"west"|23
4|"d"|8
1|"b"|25
2|"c"|26
2|"east"|30
5|"east"|2
3|"east"|12
1|"west"|10
2|"a"|5
3|"east"|27
2|"d"|10
3|"a"|28
2|"east"|6
2|"a"|8
3|"b"|16
3|"c"|15
4|"d"|6
5|"east"|3
1|"west"|11
3|"east"|1
3|"west"|9
2|"a"|17
2|"west"|10
2|"d"|29
5|"c"|8
1|"a"|22
2|"west"|19
4|"d"|4
1|"c"|1
4|"b"|22
5|"a"|22
4|"east"|5
4|"c"|26
1|"d"|7
2|"east"|4
4|"b"|22
5|"a"|24
1|"west"|17
4|"b"|27
5|"b"|6
1|"east"|18
2|"d"|19
1|"c"|15
2|"west"|15
4|"d"|4
1|"c"|5
5|"east"|22
4|"d"|1
4|"west"|10
3|"east"|24
5|"west"|3
3|"b"|2
3|"c"|11
1|"a"|26
2|"a"|5
4|"west"|26
5|"b"|18
4|"east"|20
1|"b"|24
3|"west"|12
1|"b"|20
3|"east"|13
4|"d"|2
2|"west"|25
1|"c"|1
5|"west"|26
2|"c"|14
4|"west"|12
3|"west"|3
5|"west"|24
2|"b"|26
4|"east"|17
1|"a"|3
2|"east"|22
2|"d"|6
1|"a"|28
3|"a"|8
2|"c"|13
1|"a"|18
3|"b"|5
1|"a"|8
5|"west"|18
2|"c"|26
2|"b"|2
5|"west"|7
1|"west"|13
5|"a"|24
4|"b"|14
1|"b"|18
5|"west"|22
1|"west"|23
4|"b"|24
4|"east"|1
4|"west"|17
5|"west"|10
4|"d"|16
2|"a"|2
1|"c"|5
1|"c"|23
1|"a"|16
1|"d"|4
4|"b"|9
5|"c"|28
1|"west"|22
5|"east"|11
1|"b"|7
4|"a"|17
3|"a"|25
1|"east"|25
1|"east"|9
3|"c"|9
3|"d"|20
4|"b"|20
4|"c"|11
4|"a"|20
2|"d"|14
4|"a"|8
4|"d"|24
1|"west"|25
5|"east"|14
2|"d"|8
5|"c"|13
1|"b"|24
4|"d"|30
4|"east"|8
1|"c"|12
4|"b"|15
1|"b"|18
5|"d"|24
3|"a"|6
2|"b"|22
3|"west"|13
1|"c"|10
4|"d"|6
4|"d"|7
2|"a"|10
1|"a"|26
4|"d"|25
1|"west"|10
2|"west"|22
1|"c"|6
3|"east"|8
1|"east"|13
5|"west"|14
2|"d"|9
4|"a"|27
3|"d"|11
4|"east"|19
4|"east"|17
4|"a"|7
4|"east"|18
2|"a"|1
3|"east"|8
4|"west"|20
2|"d"|24
2|"west"|27
1|"c"|19
2|"west"|5
5|"a"|22
2|"d"|30
1|"d"|11
5|"b"|9
1|"a"|30
3|"a"|13
2|"east"|4
1|"east"|15
2|"b"|17
2|"c"|16
1|"east"|7
1|"a"|18
1|"d"|23
5|"d"|21
1|"d"|11
4|"east"|20
5|"west"|9
5|"d"|29
3|"east"|20
4|"east"|20
1|"c"|6
2|"a"|16
1|"a"|9
5|"d"|26
3|"d"|12
5|"west"|4
5|"east"|18
1|"a"|14
1|"d"|7
3|"d"|28
2|"a"|14
2|"a"|6
5|"d"|12
3|"d"|27
2|"west"|28
4|"a"|14
5|"c"|20
4|"b"|16
5|"east"|3
1|"east"|27
2|"east"|28
5|"west"|19
5|"a"|13
5|"b"|23
1|"a"|25
2|"west"|27
1|"d"|3
4|"d"|12
2|"west"|23
2|"a"|13
2|"west"|7
4|"a"|26
2|"a"|16
5|"east"|11
3|"east"|2
1|"c"|23
5|"a"|8
4|"west"|6
5|"c"|24
3|"c"|17
3|"east"|8
3|"west"|14
2|"west"|20
5|"east"|25
1|"b"|16
3|"west"|7
5|"west"|5
2|"c"|25
3|"a"|15
3|"a"|27
5|"west"|24
2|"c"|18
1|"west"|24
3|"d"|28
4|"b"|29
1|"west"|6
2|"d"|26
1|"a"|23
5|"d"|8
5|"east"|9
3|"c"|4
2|"west"|25
5|"c"|11
2|"a"|11
4|"b"|25
1|"east"|8
1|"d"|20
4|"east"|22
3|"east"|2
5|"d"|23
3|"c"|29
5|"east"|15
2|"west"|9
1|"east"|24
5|"east"|28
2|"west"|4
4|"d"|21
2|"c"|21
1|"d"|13
5|"a"|3
2|"b"|20
4|"b"|30
4|"d"|1
4|"west"|5
1|"d"|22
2|"west"|10
1|"west"|30
2|"c"|5
2|"west"|6
3|"a"|23
5|"east"|29
2|"a"|14
2|"b"|24
2|"d"|11
3|"a"|4
5|"a"|21
3|"c"|9
2|"c"|25
5|"c"|5
1|"b"|23
3|"b"|26
3|"a"|23
5|"c"|15
4|"c"|23
1|"a"|22
5|"d"|22
1|"c"|14
3|"a"|20
5|"c"|4
3|"d"|12
2|"east"|18
5|"west"|3
2|"d"|2
3|"c"|27
2|"c"|27
3|"a"|22
5|"a"|17
2|"d"|28
1|"west"|29
1|"a"|21
2|"c"|13
3|"east"|9
2|"west"|19
5|"b"|2
2|"b"|16
4|"west"|13
4|"east"|22
4|"east"|6
2|"east"|12
2|"b"|18
4|"a"|19
3|"a"|27
1|"west"|27
5|"b"|20
1|"east"|26
2|"c"|5
3|"west"|21
2|"c"|1
4|"d"|22
2|"east"|24
2|"c"|14
2|"b"|26
3|"west"|17
5|"east"|8
2|"c"|7
4|"c"|4
5|"d"|14
5|"c"|24
1|"east"|14
3|"c"|6
3|"b"|24
5|"b"|13
5|"b"|18
3|"c"|1
4|"c"|7
3|"a"|19
3|"b"|25
5|"west"|29
5|"east"|12
5|"c"|29
4|"west"|28
1|"b"|19
4|"east"|28
4|"c"|11
2|"c"|20
1|"d"|13
3|"a"|9
4|"a"|26
5|"east"|7
1|"a"|25
5|"east"|11
3|"b"|18
5|"d"|7
3|"c"|24
5|"west"|13
4|"east"|14
4|"d"|19
5|"east"|19
3|"d"|1
4|"west"|4
4|"west"|28
1|"d"|19
1|"a"|28
3|"east"|15
1|"a"|1
2|"east"|9
4|"a"|11
4|"d"|27
3|"d"|14
3|"a"|21
3|"a"|18
5|"d"|1
1|"d"|16
3|"c"|19
2|"b"|10
2|"c"|20
4|"east"|17
3|"a"|29
3|"c"|25
1|"west"|11
4|"d"|28
5|"b"|16
3|"c"|2
2|"west"|24
3|"b"|26
5|"d"|3
4|"west"|18
5|"b"|29
3|"d"|4
3|"a"|28
2|"c"|2
2|"east"|11
4|"d"|24
2|"d"|28
3|"east"|26
1|"west"|14
2|"east"|21
3|"east"|8
4|"east"|28
1|"west"|13
2|"c"|17
3|"b"|1
1|"a"|25
1|"b"|15
5|"east"|13
5|"c"|3
5|"west"|7
1|"c"|21
5|"c"|5
4|"d"|12
5|"d"|25
4|"a"|29
2|"d"|11
4|"b"|2
2|"west"|14
2|"c"|10
3|"b"|21
5|"c"|13
5|"east"|13
2|"b"|4
5|"a"|22
2|"b"|8
3|"d"|22
4|"a"|16
1|"d"|29
2|"a"|29
4|"c"|9
3|"d"|15
4|"b"|22
4|"b"|13
2|"d"|15
5|"c"|23
1|"east"|20
5|"east"|16
4|"c"|26
4|"c"|20
3|"west"|10
2|"c"|27
5|"west"|11
2|"east"|12
2|"d"|24
4|"c"|29
1|"b"|16
4|"d"|14
5|"d"|10
1|"c"|28
2|"a"|28
4|"d"|15
3|"a"|10
5|"d"|12
2|"c"|3
1|"c"|25
4|"b"|21
2|"a"|20
5|"a"|26
1|"west"|23
1|"east"|28
3|"west"|2
4|"c"|13
3|"west"|17
2|"b"|24
3|"west"|9
3|"b"|17
3|"west"|22
4|"c"|8
3|"b"|30
2|"west"|5
4|"d"|2
1|"a"|9
4|"a"|28
5|"west"|3
1|"a"|24
2|"c"|19
3|"d"|3
1|"east"|23
5|"east"|19
5|"west"|13
3|"a"|3
5|"a"|22
3|"east"|7
4|"c"|13
4|"a"|10
3|"d"|15
4|"a"|17
4|"east"|16
1|"c"|24
4|"west"|19
4|"d"|22
4|"east"|29
2|"west"|20
1|"west"|12
2|"c"|13
3|"east"|19
3|"a"|17
5|"a"|9
2|"west"|8
2|"a"|24
2|"east"|23
2|"d"|14
3|"a"|11
3|"d"|22
2|"east"|18
4|"b"|30
2|"a"|9
1|"c"|3
2|"a"|18
4|"d"|2
3|"d"|10
4|"b"|7
5|"east"|27
1|"c"|15
5|"c"|6
3|"d"|10
3|"b"|1
2|"c"|20
3|"c"|4
1|"west"|28
2|"west"|8
5|"d"|21
2|"c"|3
5|"west"|22
4|"d"|10
4|"d"|10
1|"b"|3
2|"c"|3
5|"west"|7
1|"b"|12
5|"c"|7
3|"d"|25
3|"east"|27
1|"c"|7
5|"east"|25
5|"c"|21
2|"west"|4
4|"east"|20
3|"c"|29
5|"east"|2
5|"east"|10
1|"b"|18
4|"c"|12
5|"a"|13
4|"c"|25
5|"b"|7
5|"b"|28
1|"east"|8
3|"east"|25
5|"a"|18
1|"west"|2
2|"east"|3
3|"d"|7
3|"b"|23
5|"b"|10
2|"a"|23
5|"c"|19
4|"west"|27
2|"a"|27
5|"west"|30
1|"b"|3
5|"c"|5
4|"b"|10
1|"a"|10
4|"a"|7
2|"a"|11
3|"c"|7
1|"a"|11
2|"a"|7
1|"c"|10
1|"d"|15
5|"a"|22
1|"a"|20
4|"c"|20
5|"c"|22
3|"c"|15
4|"west"|27
4|"b"|24
3|"c"|29
3|"a"|26
5|"west"|6
5|"east"|4
2|"d"|20
5|"c"|11
2|"a"|14
3|"west"|3
5|"west"|26
1|"a"|14
1|"west"|24
4|"west"|13
5|"a"|1
1|"west"|24
5|"west"|5
2|"west"|9
2|"west"|4
4|"east"|5
4|"east"|30
2|"b"|22
1|"west"|26
4|"c"|30
4|"b"|21
4|"east"|19
4|"b"|1
5|"b"|21
3|"d"|19
1|"west"|1
1|"c"|19
2|"b"|22
3|"d"|5
2|"east"|21
4|"a"|23
2|"b"|5
1|"a"|21
4|"c"|18
3|"east"|16
2|"c"|26
2|"east"|15
1|"b"|20
3|"a"|10
3|"b"|29
1|"c"|22
5|"west"|1
2|"west"|17
4|"a"|26
4|"a"|10
5|"a"|6
2|"c"|1
4|"c"|28
3|"d"|9
4|"d"|23
5|"c"|2
5|"a"|9
1|"west"|17
5|"east"|11
4|"d"|23
3|"b"|2
1|"d"|11
3|"d"|26
2|"b"|17
5|"d"|17
5|"east"|15
4|"c"|14
5|"east"|27
2|"a"|7
4|"west"|2
4|"west"|5
2|"east"|1
1|"a"|26
2|"east"|13
1|"c"|16
5|"c"|22
4|"a"|25
5|"east"|1
2|"east"|1
2|"c"|4
3|"east"|19
3|"west"|8
5|"b"|23
5|"c"|10
1|"east"|23
1|"c"|15
5|"west"|2
3|"b"|10
4|"b"|18
2|"east"|12
1|"west"|14
4|"b"|21
1|"east"|11
2|"b"|22
4|"d"|1
5|"c"|28
5|"east"|13
5|"west"|25
4|"c"|13
2|"east"|29
2|"c"|25
5|"west"|6
2|"east"|29
2|"west"|18
1|"a"|17
2|"b"|8
3|"b"|2
4|"east"|17
3|"d"|18
3|"west"|27
4|"d"|30
4|"west"|16
5|"a"|20
4|"c"|11
5|"b"|16
3|"west"|9
5|"c"|27
5|"d"|11
2|"a"|8
3|"west"|7
1|"d"|11
3|"west"|26
3|"east"|21
2|"east"|23
5|"d"|9
5|"west"|15
3|"a"|22
1|"west"|21
3|"east"|13
2|"d"|15
3|"a"|27
1|"east"|20
4|"d"|9
3|"b"|9
5|"d"|12
3|"a"|25
3|"west"|14
3|"a"|20
4|"d"|17
5|"d"|8
1|"a"|19
2|"c"|24
5|"b"|2
1|"d"|26
2|"a"|3
3|"east"|16
2|"b"|30
3|"b"|5
5|"c"|25
5|"west"|7
3|"west"|20
2|"d"|13
